screen_time_hours,work_screen_hours,leisure_screen_hours,sleep_hours,sleep_quality_1_5,stress_level_0_10,productivity_0_10,exercise_minutes_per_week,social_hours_per_week,mental_wellness_index_0_10,occupation_Desempregado,occupation_Empregado,occupation_Estudante,occupation_Reformado,work_mode_Hybrid,work_mode_In-person,work_mode_Remote,age_Jovem_16-25,age_Adulto_25-50,age_Senior_50-60
10.79,5.44,5.35,6.63,1,9.3,4.5,127,0.7,0.9,0,1,0,0,0,0,1,0,1,0
7.4,0.37,7.03,8.05,3,5.7,7.8,74,2.1,5.6,0,1,0,0,0,1,0,0,1,0
9.78,1.09,8.69,6.48,1,9.1,5.2,67,8.0,0.4,0,1,0,0,1,0,0,0,1,0
11.13,0.56,10.57,6.89,1,10.0,3.7,0,5.7,0.0,0,1,0,0,1,0,0,0,1,0
13.22,4.09,9.13,5.79,1,10.0,3.8,143,10.1,0.0,0,0,1,0,0,0,1,0,1,0
9.83,0.53,9.3,7.19,1,10.0,4.4,71,10.3,0.5,0,1,0,0,1,0,0,0,1,0
6.02,2.82,3.2,7.44,2,6.1,6.5,141,4.7,4.4,0,0,0,1,0,0,0,0,1,0
6.21,0.75,5.46,6.78,2,5.4,8.7,51,18.7,5.4,0,1,0,0,0,1,0,0,1,0
6.28,0.67,5.61,8.48,4,1.6,9.2,149,10.1,8.7,0,0,1,0,0,1,0,0,1,0
9.37,0.84,8.53,7.78,2,10.0,4.2,50,12.7,1.1,0,1,0,0,1,0,0,0,1,0
9.87,3.02,6.85,6.4,1,8.8,5.6,87,6.2,2.2,0,0,1,0,0,0,1,0,1,0
4.96,0.25,4.71,8.01,3,4.6,8.8,188,12.5,7.4,1,0,0,0,0,0,0,0,1,0
12.55,6.8,5.75,6.96,1,10.0,3.3,139,11.3,0.0,0,0,1,0,0,0,1,0,1,0
7.86,4.33,3.53,7.59,2,6.3,7.1,102,8.6,4.1,0,1,0,0,0,0,1,1,0,0
9.07,0.79,8.28,5.54,1,10.0,5.3,0,0.0,1.1,0,1,0,0,1,0,0,1,0,0
13.49,2.82,10.67,7.13,1,10.0,3.8,284,2.8,0.0,0,1,0,0,1,0,0,0,1,0
