row_id,screen_time_hours,work_screen_hours,leisure_screen_hours,sleep_hours,sleep_quality_1_5,exercise_minutes_per_week,social_hours_per_week,stress_level_0_10,productivity_0_10,mental_wellness_index_0_10,mw_class_true,mw_pred_reg_lin,mw_class_pred_rf,mw_prob_Baixo,mw_prob_Medio,mw_prob_Alto,cluster_obj1_k4,cluster_obj2_k4
1,10.79,5.44,5.35,6.63,1,127,0.7,9.3,4.5,0.9,Baixo,0.8573904494690927,Baixo,1.0,0.0,0.0,0,3
2,7.4,0.37,7.03,8.05,3,74,2.1,5.7,7.8,5.6,Medio,5.511152643960177,Medio,0.01,0.98,0.01,1,1
3,9.78,1.09,8.69,6.48,1,67,8.0,9.1,5.2,0.4,Baixo,0.9997480576359092,Baixo,1.0,0.0,0.0,0,0
4,11.13,0.56,10.57,6.89,1,0,5.7,10.0,3.7,0.0,Baixo,-0.06378518828089508,Baixo,1.0,0.0,0.0,0,0
5,13.22,4.09,9.13,5.79,1,143,10.1,10.0,3.8,0.0,Baixo,0.185167547026988,Baixo,1.0,0.0,0.0,0,3
6,9.83,0.53,9.3,7.19,1,71,10.3,10.0,4.4,0.5,Baixo,0.29880758548368735,Baixo,1.0,0.0,0.0,0,0
7,6.02,2.82,3.2,7.44,2,141,4.7,6.1,6.5,4.4,Medio,4.098311349472094,Medio,0.01,0.99,0.0,2,1
8,6.21,0.75,5.46,6.78,2,51,18.7,5.4,8.7,5.4,Medio,4.780174109708131,Medio,0.03,0.9633333333333334,0.006666666666666667,1,1
9,6.28,0.67,5.61,8.48,4,149,10.1,1.6,9.2,8.7,Alto,9.049554660271298,Alto,0.0,0.09666666666666666,0.9033333333333333,1,1
10,9.37,0.84,8.53,7.78,2,50,12.7,10.0,4.2,1.1,Baixo,1.088009842634187,Baixo,0.99,0.01,0.0,3,0
11,9.87,3.02,6.85,6.4,1,87,6.2,8.8,5.6,2.2,Baixo,1.3262702460574356,Baixo,1.0,0.0,0.0,0,3
12,4.96,0.25,4.71,8.01,3,188,12.5,4.6,8.8,7.4,Alto,6.568852836606352,Alto,0.0033333333333333335,0.2633333333333333,0.7333333333333333,1,1
13,12.55,6.8,5.75,6.96,1,139,11.3,10.0,3.3,0.0,Baixo,0.018666619694681863,Baixo,1.0,0.0,0.0,0,3
14,7.86,4.33,3.53,7.59,2,102,8.6,6.3,7.1,4.1,Medio,4.024354267773699,Medio,0.016666666666666666,0.97,0.013333333333333334,1,1
15,9.07,0.79,8.28,5.54,1,0,0.0,10.0,5.3,1.1,Baixo,0.4887267095150989,Baixo,1.0,0.0,0.0,0,0
16,13.49,2.82,10.67,7.13,1,284,2.8,10.0,3.8,0.0,Baixo,0.6412928156180335,Baixo,1.0,0.0,0.0,0,0
17,8.86,0.82,8.04,6.53,1,223,13.1,10.0,6.0,1.0,Baixo,1.1289506845279782,Baixo,0.9566666666666667,0.043333333333333335,0.0,3,2
18,7.13,0.82,6.31,7.06,1,167,11.6,7.0,4.9,3.0,Baixo,2.2101205675316917,Baixo,0.97,0.03,0.0,3,0
19,8.18,0.7,7.48,9.2,3,52,11.2,4.2,8.5,6.9,Medio,6.357724687854114,Medio,0.05333333333333334,0.7866666666666666,0.16,1,1
20,10.26,5.73,4.53,6.98,1,82,1.5,9.4,5.2,1.1,Baixo,0.9236374550165061,Baixo,1.0,0.0,0.0,0,3
21,10.14,3.29,6.85,6.68,1,65,2.8,10.0,4.8,0.0,Baixo,0.45311460543197857,Baixo,1.0,0.0,0.0,0,3
22,7.52,2.89,4.63,5.49,1,200,13.2,8.1,5.3,1.8,Baixo,1.7828294573151962,Baixo,0.9966666666666667,0.0033333333333333335,0.0,3,1
23,7.67,1.65,6.02,8.36,3,130,8.9,5.1,7.6,5.4,Medio,5.8065588964929775,Medio,0.0033333333333333335,0.9833333333333333,0.013333333333333334,1,1
24,5.74,2.33,3.41,6.34,1,63,17.6,3.7,7.7,4.9,Medio,4.433164628459131,Medio,0.12,0.8666666666666667,0.013333333333333334,1,1
25,8.93,0.45,8.48,6.21,1,69,8.5,9.8,5.0,0.1,Baixo,0.5895562926000641,Baixo,1.0,0.0,0.0,0,2
26,7.05,0.8,6.25,7.08,1,194,8.6,10.0,5.1,0.2,Baixo,0.8559089477397772,Baixo,1.0,0.0,0.0,3,0
27,11.3,5.17,6.13,7.74,2,197,7.4,10.0,5.3,0.5,Baixo,1.787959078159114,Baixo,0.9933333333333333,0.006666666666666667,0.0,2,3
28,6.61,0.33,6.28,8.06,2,227,3.5,7.0,6.0,4.3,Medio,3.733607319974677,Medio,0.10333333333333333,0.8966666666666666,0.0,2,1
29,7.43,0.73,6.7,7.11,2,164,0.0,7.6,6.1,2.9,Baixo,3.3138068040959427,Baixo,0.8933333333333333,0.10666666666666667,0.0,2,0
30,9.57,0.48,9.09,7.18,1,81,9.1,10.0,3.8,0.1,Baixo,0.1488423878653844,Baixo,1.0,0.0,0.0,0,2
31,6.37,0.78,5.59,6.91,1,0,8.9,8.5,5.2,1.1,Baixo,1.1812193730427296,Baixo,0.99,0.01,0.0,3,2
32,14.35,7.54,6.81,6.5,1,100,5.1,10.0,4.3,0.0,Baixo,0.2720119342128511,Baixo,1.0,0.0,0.0,0,3
33,6.89,1.25,5.64,7.42,1,116,0.2,7.0,6.0,1.7,Baixo,2.5659321336429457,Baixo,0.8966666666666666,0.10333333333333333,0.0,2,3
34,11.38,0.57,10.81,7.38,1,95,11.4,9.9,5.7,0.2,Baixo,0.7941137888953893,Baixo,0.99,0.01,0.0,0,0
35,13.05,0.65,12.4,7.28,1,86,4.2,10.0,4.0,0.0,Baixo,0.24191453391513873,Baixo,1.0,0.0,0.0,0,2
36,7.47,3.01,4.46,7.57,1,15,14.3,8.4,5.4,1.5,Baixo,1.2598536603313562,Baixo,0.99,0.01,0.0,3,3
37,9.93,1.89,8.04,6.63,1,138,15.2,9.5,4.6,0.2,Baixo,0.6962956344508302,Baixo,1.0,0.0,0.0,3,0
38,8.08,1.25,6.83,7.64,3,147,0.0,6.5,6.8,5.8,Medio,4.963814371308706,Medio,0.02,0.9733333333333334,0.006666666666666667,2,1
39,7.88,0.39,7.49,7.03,1,153,7.6,9.0,5.0,1.8,Baixo,1.235784286702215,Baixo,0.9966666666666667,0.0033333333333333335,0.0,3,2
40,8.81,3.92,4.89,6.22,1,172,5.7,10.0,5.2,1.2,Baixo,0.801353265934019,Baixo,1.0,0.0,0.0,0,3
41,5.65,0.36,5.29,7.28,2,169,19.4,7.2,6.7,3.5,Medio,3.534796944286179,Medio,0.12333333333333334,0.8766666666666667,0.0,3,1
42,9.31,0.65,8.66,7.08,2,74,1.1,8.4,5.2,3.0,Baixo,2.3789157428267123,Baixo,0.9933333333333333,0.006666666666666667,0.0,2,2
43,7.72,5.52,2.2,7.96,3,106,17.5,3.8,7.8,6.2,Medio,6.335101237295812,Medio,0.013333333333333334,0.9166666666666666,0.07,1,1
44,11.81,4.64,7.17,6.45,1,92,3.5,10.0,3.8,0.0,Baixo,0.1604146252021943,Baixo,1.0,0.0,0.0,0,3
45,6.71,0.74,5.97,6.31,1,119,8.0,7.4,5.9,2.3,Baixo,2.234232408568322,Baixo,0.97,0.03,0.0,3,2
46,6.1,1.57,4.53,7.47,1,188,8.0,4.1,8.0,5.3,Medio,4.758154798430336,Medio,0.016666666666666666,0.98,0.0033333333333333335,1,1
47,7.46,1.45,6.01,7.33,2,156,8.4,8.9,4.9,2.4,Baixo,2.167970484639162,Baixo,1.0,0.0,0.0,2,2
48,14.22,7.52,6.7,6.5,1,222,13.9,10.0,3.5,0.0,Baixo,0.2180183317688229,Baixo,0.9966666666666667,0.0033333333333333335,0.0,0,3
49,9.93,3.77,6.16,7.67,2,254,0.5,9.3,5.3,1.8,Baixo,2.3755706573561373,Baixo,0.9966666666666667,0.0033333333333333335,0.0,2,3
50,13.29,0.99,12.3,7.08,1,77,9.2,10.0,2.7,0.0,Baixo,-0.2541539413964613,Baixo,1.0,0.0,0.0,0,2
51,6.77,0.36,6.41,6.93,1,0,8.1,6.5,5.7,2.7,Baixo,2.357978475000019,Baixo,0.88,0.12,0.0,3,0
52,10.25,5.59,4.66,6.33,1,181,5.4,10.0,3.8,0.0,Baixo,0.35815862955883393,Baixo,1.0,0.0,0.0,0,3
53,8.75,1.6,7.15,6.2,1,65,21.6,8.8,4.5,0.0,Baixo,0.7789770187476952,Baixo,0.9933333333333333,0.006666666666666667,0.0,3,0
